Time,Coin,Quantity,Description
2021-01-30 15:30:45.289565,USD,500.00000000,Circle deposit (early credit)
2021-01-31 18:32:04.139625,DOGE,14484.18905922,spot_base
2021-01-31 18:32:04.139625,USD,-500.00000000,spot_quote
2021-01-31 18:32:04.193478,CUSDT,1.00000000,transfer 24688
2021-02-03 21:19:07.973420,DOGE,-14484.18905922,spot_base
2021-02-03 21:19:07.973420,USD,531.33364619,spot_quote
2021-02-03 21:19:08.014688,CUSDT,1.00000000,transfer 55228
2021-02-03 22:16:58.470156,DOGE,14424.65208302,spot_base
2021-02-03 22:16:58.470156,USD,-531.33364619,spot_quote
2021-02-03 22:16:58.519785,TRX,1.00000000,transfer 55945
2021-02-05 01:09:02.900880,USD,0.50000000,Circle deposit fee
2021-02-05 01:09:02.900880,USD,-0.50000000,Circle deposit fee
2021-02-05 01:09:02.900880,USD,500.00000000,Circle deposit
2021-02-05 01:09:02.900880,USD,-500.00000000,Circle deposit (undo early credit)
2021-02-09 08:25:20.309442,USD,10.00000000,transfer 138815
2021-02-09 14:46:42.189870,BTC,0.00021453,spot_base
2021-02-09 14:46:42.189870,USD,-9.99960847,spot_quote
2021-02-09 14:46:42.248090,CUSDT,1.00000000,transfer 180730
2021-02-12 04:05:17.714844,DOGE,-10818.48910000,spot_base
2021-02-12 04:05:17.714844,USD,675.96819251,spot_quote
2021-02-12 04:05:17.758485,DOGE,1.00000000,transfer 208671
2021-02-12 09:27:19.268642,USD,-675.96858405,spot_quote
2021-02-12 09:27:19.268642,DOGE,10167.90280191,spot_base
2021-02-12 09:27:19.319186,TRX,1.00000000,transfer 210883
2021-02-17 23:57:07.388789,USD,668.15956589,spot_quote
2021-02-17 23:57:07.388789,DOGE,-13775.06578493,spot_base
2021-02-17 23:57:07.430550,DOGE,1.00000000,transfer 250508
2021-02-17 23:57:58.464439,BTC,0.01273741,spot_base
2021-02-17 23:57:58.464439,USD,-668.15926585,spot_quote
2021-02-17 23:57:58.516263,GRT,1.00000000,transfer 250515
2021-02-18 02:34:08.629167,USD,168.33972935,spot_quote
2021-02-18 02:34:08.629167,BTC,-0.00323799,spot_base
2021-02-18 02:34:08.670626,DOGE,1.00000000,transfer 251421
2021-02-18 02:34:18.709752,USD,-168.34002941,spot_quote
2021-02-18 02:34:18.709752,GRT,72.41370539,spot_base
2021-02-18 02:34:18.763104,DOGE,1.00000000,transfer 251423
2021-02-19 08:57:23.469710,BTC,-0.00242849,spot_base
2021-02-19 08:57:23.469710,USD,125.98886774,spot_quote
2021-02-19 08:57:23.510643,DOGE,1.00000000,transfer 257121
2021-02-19 08:57:37.473806,DOGE,2216.21097079,spot_base
2021-02-19 08:57:37.473806,USD,-125.98886775,spot_quote
2021-02-19 08:57:37.525772,BRZ,1.00000000,transfer 257122
2021-02-22 09:37:51.675701,GRT,-36.70690000,spot_base
2021-02-22 09:37:51.675701,USD,75.85069914,spot_quote
2021-02-22 09:37:51.719435,DOGE,1.00000000,transfer 271618
2021-02-22 09:38:14.776150,USD,398.61141255,spot_quote
2021-02-22 09:38:14.776150,BTC,-0.00728546,spot_base
2021-02-22 09:38:14.819730,DOGE,1.00000000,transfer 271620
2021-02-22 09:38:29.512190,DOGE,8067.29994559,spot_base
2021-02-22 09:38:29.512190,USD,-474.46211170,spot_quote
2021-02-22 09:38:29.567713,USDT,1.00000000,transfer 271621
2021-03-11 23:23:50.353525,BRZ,1.00000000,Moving BRL to BRZ
2021-03-11 23:23:50.353525,BRZ,-1.00000000,Moving BRL to BRZ
2021-03-13 21:52:04.280529,GRT,-36.70680539,spot_base
2021-03-13 21:52:04.280529,USD,65.64198831,spot_quote
2021-03-13 21:52:04.320727,DOGE,1.00000000,transfer 334104
2021-03-20 05:44:07.178436,BTC,0.00112320,spot_base
2021-03-20 05:44:07.178436,USD,-65.64145533,spot_quote
2021-03-20 05:44:07.236308,TRX,1.00000000,transfer 351128
2021-03-21 05:20:32.288827,DOGE,-10290.51091638,spot_base
2021-03-21 05:20:32.288827,USD,587.07982208,spot_quote
2021-03-21 05:20:32.325726,DOGE,1.00000000,transfer 353140
2021-03-21 05:20:41.401695,BTC,0.01022111,spot_base
2021-03-21 05:20:41.401695,USD,-587.08027697,spot_quote
2021-03-21 05:20:41.462193,CUSDT,1.00000000,transfer 353141
2021-04-16 02:45:01.206628,USD,710.96290424,spot_quote
2021-04-16 02:45:01.206628,BTC,-0.01134431,spot_base
2021-04-16 02:45:01.245936,CUSDT,1.00000000,transfer 800376
2021-04-16 02:45:13.731103,USD,-710.96298235,spot_quote
2021-04-16 02:45:13.731103,DOGE,2377.49910772,spot_base
2021-04-16 02:45:13.789278,DOGE,1.00000000,transfer 800403
2021-04-16 04:35:10.134358,DOGE,-2379.49910772,spot_base
2021-04-16 04:35:10.134358,USD,588.79970155,spot_quote
2021-04-16 04:35:10.173850,DOGE,1.00000000,transfer 805380
2021-04-16 04:36:32.840794,USD,1.50000000,Circle withdrawal fee
2021-04-16 04:36:32.840794,USD,-1.50000000,Circle withdrawal fee
2021-04-16 04:36:32.840794,USD,-588.79000000,Circle withdrawal
2021-05-07 06:55:37.436344,USD,200.00000000,Circle deposit (early credit)
2021-05-07 06:55:45.363849,DOGE,329.98513367,spot_base
2021-05-07 06:55:45.363849,USD,-200.00000000,spot_quote
2021-05-07 06:55:45.420890,TRX,1.00000000,transfer 1151719
2021-05-07 20:20:45.437095,USD,2999.00000000,Circle deposit (early credit)
2021-05-07 20:21:00.530431,DOGE,4676.01459335,spot_base
2021-05-07 20:21:00.530431,USD,-2999.00970156,spot_quote
2021-05-07 20:21:00.588983,GRT,1.00000000,transfer 1165031
2021-05-08 04:43:23.485519,USD,1800.00000000,Circle deposit (early credit)
2021-05-08 04:43:40.740802,USD,-1800.00000001,spot_quote
2021-05-08 04:43:40.740802,DOGE,2474.87095096,spot_base
2021-05-08 04:43:40.797207,TRX,1.00000000,transfer 1177613
2021-05-14 14:27:52.444488,USD,0.50000000,Circle deposit fee
2021-05-14 14:27:52.444488,USD,-0.50000000,Circle deposit fee
2021-05-14 14:27:52.444488,USD,-200.00000000,Circle deposit (undo early credit)
2021-05-14 14:27:52.444488,USD,200.00000000,Circle deposit
2021-05-14 14:46:31.944189,USD,1800.00000000,Circle deposit
2021-05-14 14:46:31.944189,USD,-0.50000000,Circle deposit fee
2021-05-14 14:46:31.944189,USD,0.50000000,Circle deposit fee
2021-05-14 14:46:31.944189,USD,-1800.00000000,Circle deposit (undo early credit)
2021-05-14 14:47:10.209305,USD,0.50000000,Circle deposit fee
2021-05-14 14:47:10.209305,USD,-2999.00000000,Circle deposit (undo early credit)
2021-05-14 14:47:10.209305,USD,2999.00000000,Circle deposit
2021-05-14 14:47:10.209305,USD,-0.50000000,Circle deposit fee
2021-08-11 18:00:00,DOGE,0.06832759,FTX App Earn
2021-08-11 18:00:00,USDT,0.00000913,FTX App Earn
2021-08-11 19:00:00,USDT,0.00000913,FTX App Earn
2021-08-11 19:00:00,DOGE,0.06832821,FTX App Earn
2021-08-11 20:00:00,DOGE,0.06832883,FTX App Earn
2021-08-11 20:00:00,USDT,0.00000913,FTX App Earn
2021-08-11 21:00:00,DOGE,0.06832946,FTX App Earn
2021-08-11 21:00:00,USDT,0.00000913,FTX App Earn
2021-08-11 22:00:00,USDT,0.00000913,FTX App Earn
2021-08-11 22:00:00,DOGE,0.06833008,FTX App Earn
2021-08-11 23:00:00,DOGE,0.06833071,FTX App Earn
2021-08-11 23:00:00,USDT,0.00000913,FTX App Earn
2021-08-12 00:00:00,DOGE,0.06833133,FTX App Earn
2021-08-12 00:00:00,USDT,0.00000913,FTX App Earn
2021-08-12 01:00:00,DOGE,0.06833195,FTX App Earn
2021-08-12 01:00:00,USDT,0.00000913,FTX App Earn
2021-08-12 02:00:00,USDT,0.00000913,FTX App Earn
2021-08-12 02:00:00,DOGE,0.06833258,FTX App Earn
2021-08-12 03:00:00,USDT,0.00000913,FTX App Earn
2021-08-12 03:00:00,DOGE,0.06833320,FTX App Earn
2021-08-12 04:00:00,DOGE,0.06833383,FTX App Earn
